Host Name,Planet Letter,Planet Name,Discovery Method,Year of Discovery,Orbital Period (days),Planet Mass (Earth Mass),Planet Radius (Earth Radii),Planet Density (g/cm^3),Equilibrium Temperature (K),Insolation Flux (Earth Flux)
K2-128,b,K2-128 b,Transit,2017,5.675819,2.6,1.42,4.99,,68.8
K2-129,b,K2-129 b,Transit,2017,8.239493,1.12,1.04,5.47,,4.5
K2-13,b,K2-13 b,Transit,2015,39.91488,4.23,1.89,3.44,511,22.8
K2-130,b,K2-130 b,Transit,2017,2.49412,2.1,1.25,5.91,,136.4
K2-131,b,K2-131 b,Transit,2017,0.36931,6.3,1.7,7.7,2062,
K2-132,b,K2-132 b,Transit,2017,9.1751,155.7367,14.572,0.277,1586,
K2-133,b,K2-133 b,Transit,2017,3.07133,2.36,1.34,5.39,,
K2-133,c,K2-133 c,Transit,2017,4.86784,3.2,1.603,4.27,,
K2-133,d,K2-133 d,Transit,2017,11.02454,4.67,2.003,3.19,,
K2-133,e,K2-133 e,Transit,2019,26.5841,3.64,1.73,3.86,296,1.8
K2-136,b,K2-136 b,Transit,2017,7.975292,0.937,0.99,5.31,553,
K2-136,c,K2-136 c,Transit,2017,17.307137,8.8,2.91,1.96,425,11.9
K2-136,d,K2-136 d,Transit,2017,25.575065,2.7,1.45,4.87,373,
K2-137,b,K2-137 b,Transit,2017,0.179715,158.915,0.89,,1471,
K2-138,b,K2-138 b,Transit,2017,2.35322,3.09,1.57,4.39,,486
K2-138,c,K2-138 c,Transit,2017,3.55987,6.9,2.52,2.37,,279
K2-138,d,K2-138 d,Transit,2017,5.40478,7.56,2.66,2.21,,160
K2-138,e,K2-138 e,Transit,2017,8.26144,10.8,3.29,1.67,,91.1
K2-138,f,K2-138 f,Transit,2017,12.75759,8.3,2.81,2.06,,51
K2-139,b,K2-139 b,Transit,2017,28.380619,123.00021,9.11,0.91,524,
K2-14,b,K2-14 b,Transit,2015,8.36802,20.7,4.81,1.02,488,8
K2-140,b,K2-140 b,Transit,2017,6.56918,323.86877,12.25,0.963,957,188.5
K2-141,b,K2-141 b,Transit,2018,0.2803244,5.08,1.51,8.2,2039,
K2-141,c,K2-141 c,Transit,2018,7.7485,7.4,7,,,
K2-146,b,K2-146 b,Transit,2018,2.6446,5.77,2.05,3.69,534,20.7
K2-146,c,K2-146 c,Transit,2019,4.00498,7.49,2.19,3.92,,
K2-147,b,K2-147 b,Transit,2018,0.961917,2.48,1.38,5.19,,200.1
K2-148,b,K2-148 b,Transit,2018,4.38395,2.33,1.33,5.44,,48.8
K2-148,c,K2-148 c,Transit,2018,6.9226,3.64,1.73,3.86,,26.5
K2-148,d,K2-148 d,Transit,2018,9.7579,3.33,1.64,4.15,,16.8
K2-149,b,K2-149 b,Transit,2018,11.332,3.33,1.64,4.15,,7
K2-15,b,K2-15 b,Transit,2015,11.8104,6.71,2.48,2.42,676,48
K2-150,b,K2-150 b,Transit,2018,10.59357,4.66,2,3.2,,4.9
K2-151,b,K2-151 b,Transit,2018,3.835476,2.83,1.49,4.7,566,20.8
K2-152,b,K2-152 b,Transit,2018,32.6479,5.86,2.29,2.68,337,2.9
K2-153,b,K2-153 b,Transit,2018,7.51574,4.66,2,3.2,497,11.8
K2-154,b,K2-154 b,Transit,2018,3.67626,4.62,1.99,3.22,715,57.5
K2-154,c,K2-154 c,Transit,2018,7.95486,4.94,2.07,3.06,552,20.5
K2-155,b,K2-155 b,Transit,2018,6.342,3.89,1.8,3.67,708,19.9
K2-155,c,K2-155 c,Transit,2018,13.85,7.27,2.6,2.27,583,7
K2-155,d,K2-155 d,Transit,2018,40.718,4.27,1.9,3.42,381,1.67
K2-156,b,K2-156 b,Transit,2018,0.81314,1.6,1.15,5.78,1347,
K2-157,b,K2-157 b,Transit,2018,0.365257,1.18,1.055,5.51,,
K2-158,b,K2-158 b,Transit,2018,10.06049,7.46,2.64,2.23,794,
K2-158,c,K2-158 c,Transit,2018,5.90279,2.18,1.28,5.71,948,
K2-159,b,K2-159 b,Transit,2018,12.42205,5.73,2.26,2.73,684,
K2-16,b,K2-16 b,Transit,2015,7.6188,4.74,2.02,3.16,658,44.5
K2-16,c,K2-16 c,Transit,2015,19.07863,6.99,2.54,2.34,485,13.1
K2-160,b,K2-160 b,Transit,2018,3.705871,10.2,3.178,1.75,,
K2-161,b,K2-161 b,Transit,2018,9.283188,31.1,6.117,0.747,,
K2-162,b,K2-162 b,Transit,2018,9.45889,2.67,1.44,4.91,631,
K2-163,b,K2-163 b,Transit,2018,6.673117,6.65,2.466,2.44,,
K2-164,b,K2-164 b,Transit,2018,17.355066,10.6,3.249,1.7,,
K2-165,b,K2-165 b,Transit,2018,2.354992,2.17,1.274,5.76,,
K2-165,c,K2-165 c,Transit,2018,4.382745,3.03,1.554,4.44,,
K2-165,d,K2-165 d,Transit,2018,14.101361,7.5,2.648,2.22,,
K2-166,b,K2-166 b,Transit,2018,8.52695,5.43,2.19,2.84,1140,
K2-167,b,K2-167 b,Transit,2018,9.977481,8.34,2.819,2.05,,
K2-168,b,K2-168 b,Transit,2018,15.8523,4.12,1.86,3.52,766,
K2-169,b,K2-169 b,Transit,2018,6.380803,2.16,1.273,5.75,,
K2-17,b,K2-17 b,Transit,2015,17.96753,5.6,2.23,2.77,487,4.91
K2-170,b,K2-170 b,Transit,2018,7.576544,2.6,1.418,5.01,,
K2-170,c,K2-170 c,Transit,2018,12.400047,3.9,1.802,3.66,,
K2-171,b,K2-171 b,Transit,2018,5.628466,7.69,2.687,2.18,,
K2-172,b,K2-172 b,Transit,2018,14.316941,3.42,1.666,4.06,,
K2-172,c,K2-172 c,Transit,2018,29.62682,10.4,3.206,1.73,,
K2-173,b,K2-173 b,Transit,2018,5.868699,3.22,1.608,4.25,,
K2-174,b,K2-174 b,Transit,2018,19.562307,7.27,2.6,2.27,455,
K2-175,b,K2-175 b,Transit,2018,9.525988,4.81,2.038,3.12,,
K2-176,b,K2-176 b,Transit,2018,5.329439,2.83,1.491,4.69,,
K2-177,b,K2-177 b,Transit,2018,14.155185,5.13,2.116,2.97,,
K2-178,b,K2-178 b,Transit,2018,8.747818,12.4,3.558,1.51,,
K2-179,b,K2-179 b,Transit,2018,5.172191,6.86,2.513,2.38,,
K2-18,b,K2-18 b,Transit,2015,32.939623,8.92,2.37,4.11,284,1.005
K2-18,c,K2-18 c,Radial Velocity,2017,8.962,7.51,2.65,2.22,363,
K2-180,b,K2-180 b,Transit,2018,8.867209,5.95,2.31,2.65,731,
K2-181,b,K2-181 b,Transit,2018,6.894256,8.45,2.84,2.03,962,
K2-182,b,K2-182 b,Transit,2018,4.736837,8.05,2.76,2.1,885,
K2-183,b,K2-183 b,Transit,2018,0.469269,7.27,2.599,2.27,,
K2-183,c,K2-183 c,Transit,2018,10.792635,8.6,2.87,2,787,
K2-183,d,K2-183 d,Transit,2018,22.631964,8.55,2.86,2.01,615,
K2-184,b,K2-184 b,Transit,2018,16.995731,3.02,1.55,4.46,580,
K2-185,b,K2-185 b,Transit,2018,10.616646,2.28,1.313,5.54,,
K2-186,b,K2-186 b,Transit,2018,41.474219,10.2,3.172,1.76,,
K2-187,b,K2-187 b,Transit,2018,0.77392,2.24,1.3,5.6,1815,
K2-187,c,K2-187 c,Transit,2018,2.872042,3.89,1.8,3.67,1173,
K2-187,d,K2-187 d,Transit,2018,7.14921,10.2,3.17,1.76,865,
K2-187,e,K2-187 e,Transit,2018,13.609878,6.26,2.38,2.55,698,
K2-188,b,K2-188 b,Transit,2018,1.742169,2.39,1.35,5.34,1692,
K2-188,c,K2-188 c,Transit,2018,7.810253,8.4,2.83,2.04,1026,
K2-189,b,K2-189 b,Transit,2018,2.588309,2.92,1.52,4.57,1197,
K2-189,c,K2-189 c,Transit,2018,6.679195,6.8,2.5,2.39,872,
K2-19,b,K2-19 b,Transit,2015,7.9194,28.5,7.74,0.334,854,125.9
K2-19,c,K2-19 c,Transit,2015,11.90715,15.9,4.86,0.94,745,73.1
K2-19,d,K2-19 d,Transit,2016,2.50856,14,1.14,51.4,1252,583.5
K2-190,b,K2-190 b,Transit,2018,10.098858,2.41,1.357,5.3,,
K2-190,c,K2-190 c,Transit,2018,21.574023,1.34,1.093,5.64,,
K2-191,b,K2-191 b,Transit,2018,2.858646,3.12,1.579,4.36,,
K2-192,b,K2-192 b,Transit,2018,4.162817,2.92,1.52,4.57,939,
K2-193,b,K2-193 b,Transit,2018,14.786889,14.8,3.95,1.32,739,
K2-194,b,K2-194 b,Transit,2018,39.721386,12.9,3.642,1.47,,
K2-195,b,K2-195 b,Transit,2018,15.852975,9.96,3.13,1.78,720,
K2-195,c,K2-195 c,Transit,2018,28.482786,7.16,2.576,2.3,,
K2-196,b,K2-196 b,Transit,2018,48.324222,12.6,3.6,1.48,,
K2-197,b,K2-197 b,Transit,2018,8.357881,7.08,2.56,2.32,848,
K2-198,b,K2-198 b,Transit,2018,17.0428683,16.3,4.189,1.22,716,
K2-198,c,K2-198 c,Transit,2019,3.3596055,2.61,1.423,4.98,1230,
K2-198,d,K2-198 d,Transit,2019,7.4500177,6.52,2.438,2.47,943,
K2-199,b,K2-199 b,Transit,2018,3.225338,4.16,1.87,3.5,861,
K2-199,c,K2-199 c,Transit,2018,7.374694,8.15,2.78,2.08,653,
K2-200,b,K2-200 b,Transit,2018,2.849883,2.43,1.364,5.26,,
K2-201,b,K2-201 b,Transit,2018,1.05979,2.54,1.4,5.09,,
K2-201,c,K2-201 c,Transit,2018,22.779878,10.8,3.286,1.67,,
K2-202,b,K2-202 b,Transit,2018,3.405164,5.91,2.302,2.66,,
K2-203,b,K2-203 b,Transit,2018,9.695101,2.45,1.371,5.23,,
K2-204,b,K2-204 b,Transit,2018,7.055784,9.51,3.046,1.85,,
K2-205,b,K2-205 b,Transit,2018,26.672263,4.64,1.996,3.21,,
K2-206,b,K2-206 b,Transit,2018,18.294549,8.22,2.795,2.07,,
K2-207,b,K2-207 b,Transit,2018,12.48749,7.3,2.606,2.27,,
K2-208,b,K2-208 b,Transit,2018,4.190948,3.46,1.679,4.02,,
K2-209,b,K2-209 b,Transit,2018,2.080615,0.586,0.869,4.92,,
K2-21,b,K2-21 b,Transit,2015,9.325038,4.04,1.84,2.7,500,10
K2-21,c,K2-21 c,Transit,2015,15.50192,6.76,2.49,5.4,420,5.1
K2-210,b,K2-210 b,Transit,2018,0.570233,0.474,0.819,4.75,,
K2-211,b,K2-211 b,Transit,2018,0.669558,2.46,1.375,5.2,,
K2-212,b,K2-212 b,Transit,2018,9.79551,6.9,2.52,2.37,542,
K2-213,b,K2-213 b,Transit,2018,8.13087,2.9,1.514,4.59,,
K2-214,b,K2-214 b,Transit,2018,8.596802,6.48,2.43,2.48,1006,
K2-215,b,K2-215 b,Transit,2018,8.269648,5.16,2.124,2.96,,
K2-216,b,K2-216 b,Transit,2018,2.1748,8,1.75,8.2,1103,248
K2-217,b,K2-217 b,Transit,2018,14.074524,12.5,3.579,1.5,,
K2-218,b,K2-218 b,Transit,2018,8.679885,7.13,2.569,2.31,,
K2-219,b,K2-219 b,Transit,2018,3.901287,2.38,1.348,5.34,,
K2-219,c,K2-219 c,Transit,2018,6.66767,2.66,1.438,4.91,,
K2-219,d,K2-219 d,Transit,2018,11.137278,7.16,2.576,2.3,,
K2-22,b,K2-22 b,Transit,2015,0.381078,444.962,2.5,,2100,114
K2-220,b,K2-220 b,Transit,2018,13.683256,6.3,2.39,2.54,758,
K2-221,b,K2-221 b,Transit,2018,2.399094,3.46,1.679,4.02,,
K2-222,b,K2-222 b,Transit,2018,15.387063,6.3,2.39,2.54,801,
K2-223,b,K2-223 b,Transit,2018,0.50565,0.64,0.89,4.99,2271,
K2-223,c,K2-223 c,Transit,2018,4.56327,3.09,1.57,4.39,1091,
K2-224,b,K2-224 b,Transit,2018,4.47904,3.05,1.56,4.41,1002,
K2-224,c,K2-224 c,Transit,2018,10.09489,6.39,2.41,2.51,764,
K2-225,b,K2-225 b,Transit,2018,15.87209,12,3.49,1.55,902,
K2-226,b,K2-226 b,Transit,2018,3.27108,2.99,1.54,4.5,1120,
K2-227,b,K2-227 b,Transit,2018,13.621832,3.41,1.666,4.06,,
K2-228,b,K2-228 b,Transit,2018,2.69828,1.92,1.21,5.96,914,
K2-229,b,K2-229 b,Transit,2018,0.58426,2.49,1.14,8.9,1818,
K2-229,c,K2-229 c,Transit,2018,8.32727,21.3,2.03,12.8,750,
K2-230,b,K2-230 b,Transit,2018,2.86041,4.5,1.96,3.28,1529,
K2-231,b,K2-231 b,Transit,2018,13.841901,6.8,2.5,2.39,,
K2-232,b,K2-232 b,Transit,2018,11.168454,126.49634,11.209,0.405,1030,
K2-233,b,K2-233 b,Transit,2018,2.46746,2.54,1.398,5.11,1040,273
K2-233,c,K2-233 c,Transit,2018,7.06142,2.34,1.335,5.4,728,67.1
K2-233,d,K2-233 d,Transit,2018,24.3662,7.46,2.64,2.23,482,12.9
K2-237,b,K2-237 b,Transit,2018,2.1805577,392.83788,18.405,0.37,1838,
K2-238,b,K2-238 b,Transit,2018,3.20466,273.3338,14.572,0.56,1587,
K2-239,b,K2-239 b,Transit,2018,5.24,1.37,1.1,5.66,502,
K2-239,c,K2-239 c,Transit,2018,7.775,0.972,1,5.34,427,
K2-239,d,K2-239 d,Transit,2018,10.115,1.37,1.1,5.66,399,
K2-24,b,K2-24 b,Transit,2016,20.88977,19,5.4,0.64,709,60.1
K2-24,c,K2-24 c,Transit,2016,42.3391,15.4,7.5,0.2,560,23.4
K2-240,b,K2-240 b,Transit,2018,6.034,4.66,2,3.2,586,
K2-240,c,K2-240 c,Transit,2018,20.523,3.89,1.8,3.67,389,
K2-241,b,K2-241 b,Transit,2018,26.8199,7.04,2.55,2.33,507,
K2-242,b,K2-242 b,Transit,2018,6.51389,6.99,2.54,2.34,416,
K2-243,b,K2-243 b,Transit,2018,11.54182,5.35,2.17,2.88,1035,
K2-243,c,K2-243 c,Transit,2018,24.94598,4.7,2.01,3.18,801,
K2-244,b,K2-244 b,Transit,2018,21.06884,3.71,1.75,3.8,638,
K2-245,b,K2-245 b,Transit,2018,11.89307,17.4,4.34,1.17,923,
K2-246,b,K2-246 b,Transit,2018,5.76918,12,3.49,1.55,977,
K2-247,b,K2-247 b,Transit,2018,2.25021,5.14,2.12,2.96,979,
K2-247,c,K2-247 c,Transit,2018,6.49424,5.43,2.19,2.84,688,
K2-248,b,K2-248 b,Transit,2018,7.17256,7.13,2.57,2.31,886,
K2-249,b,K2-249 b,Transit,2018,12.409,8.2,2.79,2.07,1061,
K2-25,b,K2-25 b,Transit,2015,3.484552,11.6,3.43,1.58,,
K2-250,b,K2-250 b,Transit,2018,4.01457,6.53,2.44,2.47,958,
K2-251,b,K2-251 b,Transit,2018,9.30075,6.12,2.35,2.59,437,
K2-252,b,K2-252 b,Transit,2018,13.81513,3.68,1.74,3.84,639,
K2-253,b,K2-253 b,Transit,2018,4.00167,,12.67,,1238,
K2-254,b,K2-254 b,Transit,2018,4.09639,3.29,1.63,4.17,791,
K2-254,c,K2-254 c,Transit,2018,12.11839,5.43,2.19,2.84,551,
K2-255,b,K2-255 b,Transit,2018,1.96417,8.75,2.9,1.97,1034,
K2-256,b,K2-256 b,Transit,2018,5.52011,7.41,2.63,2.24,845,
K2-257,b,K2-257 b,Transit,2018,1.60588,0.498,0.83,4.79,789,
K2-258,b,K2-258 b,Transit,2018,19.0921,9.27,3,1.89,831,
K2-259,b,K2-259 b,Transit,2018,15.48043,5.99,2.32,2.64,795,
K2-26,b,K2-26 b,Transit,2016,14.5665,7.61,2.67,2.2,430,5.8
K2-260,b,K2-260 b,Transit,2018,2.6266657,451.3186,17.396,0.5,1957,
K2-261,b,K2-261 b,Transit,2018,11.63344,70.87609,9.528,0.483,1080,
K2-263,b,K2-263 b,Transit,2018,50.818947,14.8,2.41,5.7,470,
K2-264,b,K2-264 b,Transit,2018,5.840002,5.61,2.231,2.78,496,
K2-264,c,K2-264 c,Transit,2018,19.660302,7.6,2.668,2.2,331,
K2-265,b,K2-265 b,Transit,2018,2.369172,6.54,1.71,7.1,,
K2-266,b,K2-266 b,Transit,2018,0.658524,11.26782,3.3,1.77,1515,879.5
K2-266,c,K2-266 c,Transit,2018,7.814,0.29013,0.705,4.51,665,32.4
K2-266,d,K2-266 d,Transit,2018,14.697,8.9,2.93,2.03,538,13.95
K2-266,e,K2-266 e,Transit,2018,19.482,14.3,2.73,2.21,490,9.581
K2-268,b,K2-268 b,Transit,2018,2.151894,2.57,1.41,5.04,1121,
K2-268,c,K2-268 c,Transit,2018,9.326841,7.7,2.69,2.17,688,
K2-269,b,K2-269 b,Transit,2018,4.144965,3.09,1.57,4.39,1429,
K2-27,b,K2-27 b,Transit,2016,6.771315,30.9,4.48,1.87,902,116
K2-270,b,K2-270 b,Transit,2018,1.543069,2.48,1.38,5.19,1203,
K2-270,c,K2-270 c,Transit,2018,4.400028,9.01,2.95,1.93,848,
K2-271,b,K2-271 b,Transit,2018,8.562421,41.8,7.28,0.595,893,
K2-272,b,K2-272 b,Transit,2018,14.453533,8.8,2.91,1.96,655,
K2-273,b,K2-273 b,Transit,2018,11.716332,17.9,4.42,1.14,672,
K2-274,b,K2-274 b,Transit,2018,14.129714,5.48,2.2,2.83,589,
K2-275,b,K2-275 b,Transit,2018,3.280961,5.65,2.24,2.76,905,
K2-275,c,K2-275 c,Transit,2018,8.438756,6.08,2.34,2.61,660,
K2-276,b,K2-276 b,Transit,2018,18.718269,13.7,3.77,1.4,583,
K2-277,b,K2-277 b,Transit,2018,6.326763,4.94,2.07,3.06,958,
K2-278,b,K2-278 b,Transit,2018,3.334966,9.17,2.98,1.9,1711,
K2-279,b,K2-279 b,Transit,2018,7.122605,1.92,1.21,5.96,879,
K2-28,b,K2-28 b,Transit,2016,2.260455,5.99,2.32,2.64,568,30.1
K2-280,b,K2-280 b,Transit,2018,19.895202,45.6,7.67,0.555,744,
K2-281,b,K2-281 b,Transit,2018,8.687721,50.9,8.18,0.511,665,
K2-282,b,K2-282 b,Transit,2018,4.169836,8.35,2.82,2.05,1057,
K2-283,b,K2-283 b,Transit,2018,1.921036,12.2,3.52,1.54,1186,
K2-284,b,K2-284 b,Transit,2018,4.795069,8.15,2.78,2.08,653,42.6
K2-285,b,K2-285 b,Transit,2018,3.471745,9.68,2.59,3.07,1089,234.31
K2-285,c,K2-285 c,Transit,2018,7.138048,15.68,3.53,1.95,741,50.35
K2-285,d,K2-285 d,Transit,2018,10.45582,6.5,2.48,,620,24.61
K2-285,e,K2-285 e,Transit,2018,14.76289,10.7,1.95,,501,10.5
K2-286,b,K2-286 b,Transit,2018,27.359,5.06,2.1,3,347,
K2-287,b,K2-287 b,Transit,2018,14.893291,100.11645,9.494,0.643,804,
K2-288 B,b,K2-288 B b,Transit,2018,31.393463,4.27,1.9,3.42,226,
K2-289,b,K2-289 b,Transit,2019,13.156969,61,9.1,0.445,753,
K2-29,b,K2-29 b,Transit,2016,3.2588321,232.0159,13.339,0.53,1171,293
K2-290,b,K2-290 b,Transit,2019,9.21165,10.9,3.06,4.1,1230,
K2-290,c,K2-290 c,Transit,2019,48.36685,246.00042,11.276,1.01,676,
K2-291,b,K2-291 b,Transit,2019,2.225177,6.49,1.589,8.84,,633
K2-292,b,K2-292 b,Transit,2019,16.9841,24.5,2.63,7.4,795,67
K2-293,b,K2-293 b,Transit,2019,13.1225,6.57,2.45,2.45,750,
K2-294,b,K2-294 b,Transit,2019,2.50387,3.39,1.66,4.07,1425,
K2-295,b,K2-295 b,Transit,2018,4.024867,106.47305,10.054,0.612,852,
K2-3,b,K2-3 b,Transit,2015,10.054626,6.48,1.98,3.7,504,5.8
K2-3,c,K2-3 c,Transit,2015,24.646582,2.14,1.56,2.98,374,1.77
K2-3,d,K2-3 d,Transit,2015,44.55646,2.8,1.53,5.62,282,0.8
K2-30,b,K2-30 b,Transit,2016,4.098503,184.02357,11.646,0.64,1092,299
K2-308,b,K2-308 b,Transit,2019,3.38628,70.6,9.916,0.398,,
K2-31,b,K2-31 b,Transit,2016,1.25785,563.83042,11.882,1.85,,1272
K2-315,b,K2-315 b,Transit,2020,3.1443189,0.809,0.95,5.18,460,7.45
K2-316,b,K2-316 b,Transit,2020,1.133,2.33,1.33,5.44,841,
K2-316,c,K2-316 c,Transit,2020,5.26,4.01,1.83,3.6,423,
K2-317,b,K2-317 b,Transit,2020,6.22,8.91,2.93,1.95,432,
K2-318,b,K2-318 b,Transit,2020,7.01,3.39,1.66,4.07,456,
K2-319,b,K2-319 b,Transit,2020,26.68,8.2,2.79,2.07,641,
K2-32,b,K2-32 b,Transit,2016,8.991828,16.5,4.96,0.67,817,77.7
K2-32,c,K2-32 c,Transit,2016,20.66186,12.1,2.74,2.7,619,25.6
K2-32,d,K2-32 d,Transit,2016,31.7142,10.3,3.27,1.38,537,14.5
K2-32,e,K2-32 e,Transit,2019,4.34882,1.01,1.01,5.39,,
K2-320,b,K2-320 b,Transit,2020,1.995,7.37,2.62,2.25,698,
K2-321,b,K2-321 b,Transit,2020,2.298,4.46,1.95,3.31,701,
K2-322,b,K2-322 b,Transit,2020,8.205,4.35,1.92,3.38,635,
K2-323,b,K2-323 b,Transit,2020,24.93,5.06,2.1,3,318,
K2-324,b,K2-324 b,Transit,2020,3.262,6.48,2.43,2.48,707,
K2-325,b,K2-325 b,Transit,2020,6.93,5.48,2.2,2.83,423,
K2-326,b,K2-326 b,Transit,2020,1.256,5.82,2.28,2.7,1114,
K2-33,b,K2-33 b,Transit,2016,5.424865,1175.971,5.04,,850,
K2-34,b,K2-34 b,Transit,2016,2.995633,539.67534,13.96,0.94,1559,
K2-35,b,K2-35 b,Transit,2016,5.608352,4.38,1.93,3.35,979,68
K2-35,c,K2-35 c,Transit,2016,2.399964,2.3,1.32,5.5,737,211
K2-36,b,K2-36 b,Transit,2016,1.422614,3.9,1.43,7.2,1224,529
K2-36,c,K2-36 c,Transit,2016,5.340888,7.8,3.2,1.3,788,90
K2-37,b,K2-37 b,Transit,2016,4.44117,3.22,1.61,4.24,974,213.3
K2-37,c,K2-37 c,Transit,2016,6.42904,8,2.75,2.11,861,130.3
K2-37,d,K2-37 d,Transit,2016,14.09189,7.9,2.73,2.13,663,45.7
K2-38,b,K2-38 b,Transit,2016,4.01593,19.0698,1.906,17.5,1184,465.9
K2-38,c,K2-38 c,Transit,2016,10.56103,9.9,2.42,3.6,858,128.3
K2-39,b,K2-39 b,Transit,2016,4.60543,28.6047,6.277,0.5,1670,1356
K2-4,b,K2-4 b,Transit,2015,10.003417,5.06,2.1,3,563,15.6
K2-42,b,K2-42 b,Transit,2016,6.68796,5.27,2.15,2.91,,44.1
K2-43,b,K2-43 b,Transit,2016,3.471149,18.5,4.51,1.11,939,49
K2-43,c,K2-43 c,Transit,2019,2.198884,6.44,2.42,2.5,1094,
K2-44,b,K2-44 b,Transit,2016,5.65688,7.85,2.72,2.14,,646
K2-45,b,K2-45 b,Transit,2016,1.7292684,36.4,6.71,0.662,,100
K2-46,b,K2-46 b,Transit,2016,19.1541,4.86,2.05,3.1,,119
K2-47,b,K2-47 b,Transit,2016,31.6372,4.23,1.89,3.44,,10.7
K2-48,b,K2-48 b,Transit,2016,20.5065,5.65,2.24,2.76,,15.3
K2-49,b,K2-49 b,Transit,2016,2.77065,4.38,1.93,3.35,,59
K2-5,b,K2-5 b,Transit,2015,5.73594,4.31,1.91,3.4,565,24.1
K2-5,c,K2-5 c,Transit,2015,10.93241,5.73,2.26,2.73,456,10.2
K2-50,b,K2-50 b,Transit,2016,8.7529,3.15,1.59,4.31,,18.8
K2-52,b,K2-52 b,Transit,2016,3.535055,45700,18,43.1,2004,1124
K2-53,b,K2-53 b,Transit,2016,12.20772,7.27,2.6,2.27,665,52.5
K2-54,b,K2-54 b,Transit,2016,9.7843,1.6,1.15,5.78,,6.1
K2-55,b,K2-55 b,Transit,2016,2.849258,14,3.82,1.38,,115
K2-57,b,K2-57 b,Transit,2016,9.0063,5.06,2.1,3,,24.1
K2-58,b,K2-58 b,Transit,2016,7.05254,7.65,2.68,2.18,,118
K2-58,c,K2-58 c,Transit,2016,2.53726,3.26,1.62,4.21,,462
K2-58,d,K2-58 d,Transit,2016,22.8827,3.57,1.71,3.92,,24.6
K2-59,b,K2-59 b,Transit,2016,20.6921,6.39,2.41,2.51,,17.1
K2-59,c,K2-59 c,Transit,2016,11.2954,5.9,2.3,2.66,,38.3
K2-6,b,K2-6 b,Transit,2015,30.94191,6.8,2.5,2.39,615,28.6
K2-60,b,K2-60 b,Transit,2016,3.00265,135.39558,7.656,1.7,1400,1212
K2-61,b,K2-61 b,Transit,2016,2.57302,6.71,2.48,2.42,,1686
K2-62,b,K2-62 b,Transit,2016,6.67202,5.22,2.14,2.93,,66
K2-62,c,K2-62 c,Transit,2016,16.1966,5.22,2.14,2.93,,20.5
K2-63,b,K2-63 b,Transit,2016,20.257,10.5,3.22,1.73,,188
K2-63,c,K2-63 c,Transit,2016,25.4556,14.5,3.9,1.34,,139
K2-64,b,K2-64 b,Transit,2016,6.53044,4.94,2.07,3.06,,98
K2-65,b,K2-65 b,Transit,2016,12.6475,3.12,1.58,4.35,,45
K2-66,b,K2-66 b,Transit,2016,5.06963,21.3,2.49,7.8,1372,840
K2-68,b,K2-68 b,Transit,2016,8.05428,3.12,1.58,4.35,,41
K2-69,b,K2-69 b,Transit,2016,7.06599,5.99,2.32,2.64,,17.9
K2-7,b,K2-7 b,Transit,2015,28.67992,7.61,2.67,2.2,651,125
K2-70,b,K2-70 b,Transit,2016,13.97896,8.7,2.89,1.98,,62
K2-71,b,K2-71 b,Transit,2016,6.98541,5.27,2.15,2.91,,13.4
K2-72,b,K2-72 b,Transit,2016,5.577212,1.28,1.08,5.58,,8.5
K2-72,c,K2-72 c,Transit,2016,15.189034,1.65,1.16,5.81,,2.2
K2-72,d,K2-72 d,Transit,2016,7.760178,1.01,1.01,5.39,,5.4
K2-72,e,K2-72 e,Transit,2016,24.158868,2.21,1.29,5.66,,1.2
K2-73,b,K2-73 b,Transit,2016,7.49543,6.57,2.45,2.45,,213
K2-74,b,K2-74 b,Transit,2016,19.5666,5.95,2.31,2.65,,59.1
K2-75,b,K2-75 b,Transit,2016,7.8142,7.61,2.67,2.2,,430
K2-75,c,K2-75 c,Transit,2016,18.311,8.1,2.77,2.09,,138
K2-77,b,K2-77 b,Transit,2016,8.199796,603.877,2.3,,,58
K2-79,b,K2-79 b,Transit,2016,10.99573,13.2,3.69,1.44,,186
K2-8,b,K2-8 b,Transit,2015,10.35239,12.5,3.58,1.5,631,37.7
K2-8,c,K2-8 c,Transit,2016,5.06416,6.39,2.41,2.51,801,97.8
K2-80,b,K2-80 b,Transit,2016,19.0918,4.7,2.01,3.18,,32.5
K2-80,c,K2-80 c,Transit,2016,5.605,2.76,1.47,4.77,,166
K2-80,d,K2-80 d,Transit,2018,28.867253,7.04,2.552,2.33,,
K2-81,b,K2-81 b,Transit,2016,6.102325,4.54,1.97,3.26,,62.9
K2-83,b,K2-83 b,Transit,2016,2.74697,2.08,1.244,5.94,,41.5
K2-83,c,K2-83 c,Transit,2016,9.99767,2.8,1.483,4.72,,7.42
K2-84,b,K2-84 b,Transit,2016,6.4215,6.39,2.41,2.51,,178
K2-84,c,K2-84 c,Transit,2016,27.86,4.78,2.03,3.14,,25.3
K2-85,b,K2-85 b,Transit,2016,0.684533,1.01,1.01,5.39,,479
K2-86,b,K2-86 b,Transit,2016,8.77683,4.5,1.96,3.28,,78
K2-87,b,K2-87 b,Transit,2016,9.726618,44.9,7.6,0.562,979,85
K2-88,b,K2-88 b,Transit,2016,4.6122,2.04,1.23,6.02,,7.8
K2-89,b,K2-89 b,Transit,2016,1.096026,0.17,0.615,4.02,,78
