Host Name,Planet Letter,Planet Name,Discovery Method,Year of Discovery,Orbital Period (days),Planet Mass (Earth Mass),Planet Radius (Earth Radii),Planet Density (g/cm^3),Equilibrium Temperature (K),Insolation Flux (Earth Flux)
Kepler-226,c,Kepler-226 c,Transit,2014,5.349555,45.2,2.27,21.2,,180.513
Kepler-226,d,Kepler-226 d,Transit,2014,8.109044,1.98,1.22,5.99,,103.645
Kepler-227,b,Kepler-227 b,Transit,2014,9.488015,9.85,3.11,1.8,,104.641
Kepler-227,c,Kepler-227 c,Transit,2014,54.418694,9.48,3.04,1.85,,10.186
Kepler-228,b,Kepler-228 b,Transit,2014,2.566546,2.96,1.53,4.54,,863.776
Kepler-228,c,Kepler-228 c,Transit,2014,4.134444,7.75,2.7,2.16,,457.318
Kepler-228,d,Kepler-228 d,Transit,2014,11.094286,15.4,4.04,1.28,,122.778
Kepler-229,b,Kepler-229 b,Transit,2014,6.252972,5.48,2.2,2.83,,76.217
Kepler-229,c,Kepler-229 c,Transit,2014,16.068638,21.5,4.92,0.992,,21.637
Kepler-229,d,Kepler-229 d,Transit,2014,41.194912,14.2,3.85,1.37,,6.162
Kepler-23,b,Kepler-23 b,Transit,2011,7.1073,254.3,1.9,,,446.107
Kepler-23,c,Kepler-23 c,Transit,2011,10.7421,858.1,3.2,,,257.39
Kepler-23,d,Kepler-23 d,Transit,2014,15.274299,17.6,2.2,9.08,,161.038
Kepler-230,b,Kepler-230 b,Transit,2014,32.625555,16.8,4.26,1.19,,11.816
Kepler-230,c,Kepler-230 c,Transit,2014,91.773242,4.82,2.04,3.12,,2.976
Kepler-231,b,Kepler-231 b,Transit,2014,10.065275,35.4,1.73,37.6,,14.879
Kepler-231,c,Kepler-231 c,Transit,2014,19.271566,24.1,1.93,18.4,345,6.267
Kepler-232,b,Kepler-232 b,Transit,2014,4.431222,9.69,3.08,1.82,,410.583
Kepler-232,c,Kepler-232 c,Transit,2014,11.379349,14,3.83,1.37,,116.524
Kepler-233,b,Kepler-233 b,Transit,2014,8.472382,6.48,2.43,2.48,,85.131
Kepler-233,c,Kepler-233 c,Transit,2014,60.418955,7.8,2.71,2.15,,6.195
Kepler-234,b,Kepler-234 b,Transit,2014,2.711506,13.2,3.7,1.43,,1007.716
Kepler-234,c,Kepler-234 c,Transit,2014,7.21205,12.1,3.51,1.54,,273.304
Kepler-235,b,Kepler-235 b,Transit,2014,3.340222,5.6,2.23,4.82,731,44
Kepler-235,c,Kepler-235 c,Transit,2014,7.824904,2.18,1.28,4.82,555,14.2
Kepler-235,d,Kepler-235 d,Transit,2014,20.060548,4.86,2.05,4.82,401,4.03
Kepler-235,e,Kepler-235 e,Transit,2014,46.183669,5.56,2.22,4.82,306,1.33
Kepler-236,b,Kepler-236 b,Transit,2014,8.295611,3.09,1.57,4.39,,15.632
Kepler-236,c,Kepler-236 c,Transit,2014,23.968127,4.66,2,3.2,325,3.802
Kepler-237,b,Kepler-237 b,Transit,2014,4.715106,2.57,1.41,5.04,,124.961
Kepler-237,c,Kepler-237 c,Transit,2014,8.103636,4.98,2.08,3.04,,60.642
Kepler-238,b,Kepler-238 b,Transit,2014,2.090876,3.64,1.73,3.86,,2500.588
Kepler-238,c,Kepler-238 c,Transit,2014,6.155557,6.3,2.39,2.54,,592.298
Kepler-238,d,Kepler-238 d,Transit,2014,13.233549,9.64,3.07,1.83,,213.48
Kepler-238,e,Kepler-238 e,Transit,2013,23.654,169.7,5.6,5.31,,98.461
Kepler-238,f,Kepler-238 f,Transit,2013,50.447,13.5,2,9.27,,35.869
Kepler-239,b,Kepler-239 b,Transit,2014,11.763051,6.04,2.33,2.62,,34.746
Kepler-239,c,Kepler-239 c,Transit,2014,56.228098,6.85,2.51,2.38,,4.315
Kepler-24,b,Kepler-24 b,Transit,2011,8.1453,508.5,2.4,,,252.246
Kepler-24,c,Kepler-24 c,Transit,2011,12.3335,508.5,2.8,,,144.827
Kepler-24,d,Kepler-24 d,Transit,2014,4.244384,3.43,1.67,4.05,,601.895
Kepler-24,e,Kepler-24 e,Transit,2014,18.998355,8.15,2.78,2.08,,81.506
Kepler-240,b,Kepler-240 b,Transit,2014,4.144495,2.45,1.37,5.24,,142.736
Kepler-240,c,Kepler-240 c,Transit,2014,7.953528,102.3,2.2,52.8,,59.838
Kepler-241,b,Kepler-241 b,Transit,2014,12.718092,6.04,2.33,2.62,,
Kepler-241,c,Kepler-241 c,Transit,2014,36.065978,7.13,2.57,2.31,,
Kepler-242,b,Kepler-242 b,Transit,2014,8.20395,7.32,2.61,2.26,,43.768
Kepler-242,c,Kepler-242 c,Transit,2014,14.496481,4.66,2,3.2,,20.498
Kepler-243,b,Kepler-243 b,Transit,2014,5.715442,6.57,2.45,2.45,,115.505
Kepler-243,c,Kepler-243 c,Transit,2014,20.026218,4.62,1.99,3.22,,21.72
Kepler-244,b,Kepler-244 b,Transit,2014,4.311792,8.05,2.76,2.1,,242.471
Kepler-244,c,Kepler-244 c,Transit,2014,9.767292,4.86,2.05,3.1,,81.574
Kepler-244,d,Kepler-244 d,Transit,2014,20.050401,15.2,2.31,6.78,,31.267
Kepler-245,b,Kepler-245 b,Transit,2014,7.49019,7.13,2.57,2.31,,77.749
Kepler-245,c,Kepler-245 c,Transit,2014,17.460812,225.6,2.18,120,,25.152
Kepler-245,d,Kepler-245 d,Transit,2014,36.277108,21.6,3.03,4.27,,9.492
Kepler-245,e,Kepler-245 e,Transit,2016,3.21982106,3.71,1.75,3.8,,240.151
Kepler-246,b,Kepler-246 b,Transit,2014,4.60182,6.08,2.34,2.61,,141.613
Kepler-246,c,Kepler-246 c,Transit,2014,11.187161,2.86,1.5,4.66,,43.208
Kepler-247,b,Kepler-247 b,Transit,2014,3.33616,3.33,1.64,4.15,,216.111
Kepler-247,c,Kepler-247 c,Transit,2014,9.439452,15.7,4.09,1.26,,53.899
Kepler-247,d,Kepler-247 d,Transit,2014,20.477912,14.7,3.94,1.32,,19.21
Kepler-248,b,Kepler-248 b,Transit,2014,6.308205,9.38,3.02,1.87,,79.311
Kepler-248,c,Kepler-248 c,Transit,2014,16.239494,15.6,4.07,1.27,,22.459
Kepler-249,b,Kepler-249 b,Transit,2014,3.306539,1.32,1.09,5.6,562,24.26
